"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"VEANA.06v",9,8,8,8,9,9,7,9,9,9,8,9,8,9,9,9,9,9,9,8
"PJOAO.06v",3,3,3,3,3,3,0,0,3,3,3,3,0,0,3,3,3,3,3,3
"PANTA.07i",16,15,15,15,14,15,15,16,16,16,14,15,16,16,15,13,16,15,16,15
"FUNDO.07i",14,14,14,13,14,13,13,13,13,13,12,14,13,14,14,14,14,14,13,13
"LMEIO.07i",20,19,18,20,18,19,19,19,20,18,19,20,20,18,18,19,19,19,20,20
"CAIEA.07i",22,21,23,22,24,22,22,23,23,23,23,23,23,24,23,23,21,24,24,23
"RINCO.07i",21,20,19,20,20,21,21,21,20,21,19,19,19,20,20,20,21,20,20,20
"FIGUA.07i",11,12,13,13,13,12,13,12,13,12,13,13,13,13,12,12,13,13,12,12
"PPRAI.07i",9,10,10,10,10,8,10,10,10,10,10,10,9,10,10,9,10,9,10,9
"DUNAS.07i",12,11,11,12,11,12,12,11,12,12,11,10,12,11,12,12,12,11,12,11
"PAPAG.07v",4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,3,4
"PANTA.07v",12,12,12,12,12,12,10,12,13,12,12,12,11,13,12,12,12,12,12,12
"CAIEA.07v",12,13,12,11,12,12,11,12,13,12,13,12,12,12,12,11,12,13,12,12
"FUNDO.07v",14,14,13,14,15,13,16,15,15,16,14,16,16,15,15,15,13,13,15,16
"RINCO.07v",9,10,9,9,10,10,10,10,8,9,8,9,9,8,9,9,8,9,9,8
"ALEMO.07v",3,3,3,0,3,0,3,3,3,0,3,3,3,3,3,3,3,3,3,3
"DOURO.07v",14,13,15,14,13,14,14,15,15,15,15,14,14,14,14,14,14,14,15,15
"CANAL.07v",8,7,9,9,8,9,9,9,8,9,8,9,9,8,9,7,9,9,9,8
"BABAL.07v",8,9,9,7,9,7,8,9,9,8,9,9,8,9,9,9,9,9,8,9
"TALHA.07v",9,9,9,10,10,10,9,9,9,9,9,9,10,10,9,10,9,10,10,9
"BARRA.07v",16,16,14,16,15,16,16,15,16,17,15,16,17,15,16,16,16,16,17,17
"PPRAI.07v",12,13,12,12,13,12,13,12,12,13,11,13,13,12,12,12,12,12,12,12
"FIGUA.07v",10,10,10,10,10,10,8,10,10,9,9,10,10,10,10,9,10,10,9,10
"PPRAI.08i",17,16,15,17,16,17,16,16,15,16,16,17,16,15,16,17,17,17,17,16
"BARRA.08i",10,11,11,11,10,9,11,11,10,11,10,11,11,11,11,11,10,11,10,11
"PAPAG.09v",8,8,8,7,7,8,8,8,7,8,8,7,8,8,8,7,7,6,8,8
"PANTA.09v",13,14,13,13,12,13,13,13,13,13,12,12,13,13,14,13,12,14,13,13
"CAIEA.09v",10,10,10,9,11,9,11,11,11,10,11,11,11,11,11,10,10,11,10,10
"FUNDO.09v",20,21,21,20,20,20,19,20,21,19,19,20,19,20,20,18,19,17,20,19
"RINCO.09v",14,12,12,13,15,15,15,14,14,15,15,14,15,14,15,13,15,14,13,14
"ALEMO.09v",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMEIO.09v",18,19,20,19,18,19,20,19,19,19,19,19,20,19,20,19,18,19,20,19
"CANAL.09v",15,15,14,14,15,16,16,15,16,15,15,15,14,15,14,16,15,14,15,15
"FIGUA.09v",8,8,9,9,8,9,8,8,8,8,8,9,9,9,9,9,8,8,7,9
"PPRAI.09v",8,8,8,7,8,7,8,7,7,8,8,6,7,7,8,8,8,8,7,7
"PRABA.12i",17,17,17,17,15,16,17,17,16,16,17,16,17,16,17,16,17,16,15,16
"PPRAI.12i",11,12,12,12,11,11,12,12,12,12,12,12,12,11,11,11,12,11,11,12
"BARRA.1.12i",13,13,13,14,14,12,13,13,12,14,14,14,13,14,14,12,14,14,14,14
"BABAL.12i",17,16,17,17,17,16,16,17,16,16,14,16,17,17,16,15,16,16,16,16
"FUNDO.12i",21,22,20,22,21,19,20,21,19,21,21,21,21,21,20,22,21,20,22,21
"RINCO.12i",13,12,12,12,13,12,11,13,12,13,13,11,13,13,10,13,13,13,10,13
"TALHA.12i",22,22,23,23,24,24,24,24,22,23,22,23,23,24,23,24,23,23,23,23
"FIGUA.12i",10,10,10,8,10,9,9,10,9,8,10,10,10,9,10,10,10,10,9,8
"PRABA.12v",15,15,15,15,16,15,15,15,16,15,15,16,15,14,15,15,15,14,15,15
"PPRAI.12v",13,13,12,14,13,12,13,14,14,14,14,13,14,13,13,12,12,14,13,13
"BARRA1.12v",10,10,9,11,11,9,9,10,11,10,8,11,9,11,11,9,11,10,10,11
"BABAL.12v",11,10,12,11,11,12,9,11,10,10,11,12,12,12,11,11,12,12,10,12
"FUNDO.12v",13,15,13,13,14,15,13,15,14,15,14,14,13,15,14,14,14,14,15,13
"RINCO.12v",23,25,23,24,25,24,24,24,24,24,23,24,22,22,23,24,25,23,24,24
"CANAL.12v",9,8,8,9,7,8,7,8,9,9,9,9,9,9,9,8,8,9,9,9
"TALHA.12v",16,16,16,16,16,17,17,15,17,16,16,17,17,18,17,17,15,16,17,17
"BARRA2.12v",7,8,8,7,8,6,7,8,7,7,8,8,7,7,6,7,8,7,8,8
"PRABA.13v",11,12,11,11,12,12,12,13,12,13,10,12,13,10,12,13,11,11,12,13
"PPRAI.13v",7,7,7,8,7,8,6,6,7,8,7,8,8,8,8,6,8,8,8,8
"FUNDO.13v",10,10,10,9,9,11,10,11,10,11,11,9,10,10,11,10,11,11,11,10
"BABAL.13v",17,16,17,17,16,16,17,17,17,17,18,17,17,17,17,17,17,17,17,18
"FIGUA.13v",5,6,5,6,5,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6
"RINCO.13v",15,15,15,14,14,16,14,16,15,15,15,15,16,13,15,15,16,14,15,15
"TALHA.13v",17,16,18,18,17,16,17,16,17,17,17,17,17,17,17,17,16,17,17,17
"PRABA.14i",10,9,10,10,10,10,8,10,10,10,10,10,10,10,8,10,9,9,10,10
"PPRAI.14i",10,9,10,9,9,10,10,8,9,10,10,10,9,10,9,9,10,10,10,10
"BARRA.14i",12,12,11,12,12,11,10,12,11,11,11,11,12,12,12,10,11,12,11,11
"BABAL.14i",12,11,12,12,12,11,11,11,12,12,12,10,11,12,11,12,11,12,12,11
"FUNDO.14i",11,11,11,11,11,11,11,11,11,11,11,11,10,11,10,10,11,11,11,11
"RINCO.14i",17,16,15,16,16,17,16,16,17,17,16,16,15,16,17,15,16,17,17,16
"FIGUA.14i",11,11,11,11,10,11,11,11,11,11,10,10,10,11,10,11,11,11,11,11
"TALHA.14i",13,12,13,14,14,13,14,14,13,13,14,14,14,14,14,14,14,14,13,14
"BARRA.15v",14,15,13,14,13,15,14,15,13,13,14,14,13,14,14,14,14,14,15,15
"PRABA.15v",5,6,6,6,5,5,6,6,6,5,6,6,5,6,5,6,6,5,6,6
"PPRAI.15v",12,12,12,12,11,13,12,13,12,11,12,12,12,13,12,11,11,13,13,13
"FUNDO.15v",15,15,14,16,15,15,14,15,15,14,15,15,16,15,15,15,14,14,16,15
"BABAL.15v",9,9,9,8,9,9,8,9,9,7,8,9,9,8,9,9,8,8,8,8
"FIGUA.15v",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RINCO.15v",18,19,18,18,17,18,17,17,19,18,18,17,17,18,17,17,18,18,17,17
"TALHA.15v",25,23,25,24,24,24,24,24,22,24,23,22,23,23,24,24,23,23,23,22
